strategy,category,stake_per_draw,starting_bankroll,mean_profit_per_draw,mean_final_profit,mean_final_bankroll,median_final_bankroll,stdev_final_profit,min_final_profit,max_final_profit,payout_hit_pct,positive_round_pct,profitable_run_pct,ruin_run_pct,mean_min_bankroll,mean_max_bankroll,mean_max_drawdown,mean_max_round_profit,max_round_profit_observed,mean_rtp
plain_kino_1,component,0.5,500.0,-0.187499,-1874.9875,-1374.9875,-1376.25,54.8463,-1995.0,-1692.5,25.0001,25.0001,0.0,100.0,-1375.5825,500.6442,1876.2267,0.75,0.75,0.625003
plain_kino_2,component,0.5,500.0,-0.160223,-1602.2333,-1102.2333,-1101.25,59.2707,-1745.0,-1423.5,43.9488,6.0016,0.0,100.0,-1103.15,500.9583,1604.1083,2.0,2.0,0.679553
plain_kino_3,component,0.5,500.0,-0.153095,-1530.95,-1030.95,-1027.5,145.6679,-1927.5,-1103.75,15.2592,15.2592,0.0,100.0,-1038.1458,507.9842,1546.13,12.0,12.0,0.69381
plain_kino_4,component,0.5,500.0,-0.155323,-1553.2333,-1053.2333,-1056.5,294.6139,-2315.5,-575.5,25.8764,4.6218,0.0,100.0,-1079.4967,524.3383,1603.835,49.5,49.5,0.689353
plain_kino_5,component,0.5,500.0,-0.151547,-1515.47,-1015.47,-1005.5,568.8719,-2986.0,325.0,9.6526,9.6526,1.0,97.67,-1125.8817,618.7017,1743.155,223.7833,224.5,0.696906
plain_kino_6,component,0.5,500.0,-0.156082,-1560.815,-1060.815,-1244.25,937.5261,-3047.0,2437.0,16.1315,3.1732,5.0,95.67,-1326.7417,772.2967,2031.0233,574.75,799.5,0.687837
plain_kino_7,component,0.5,500.0,-0.150372,-1503.725,-1003.725,-1559.25,1236.0328,-2710.5,3184.5,23.6192,6.1513,21.67,94.67,-1381.7133,878.465,2005.9283,580.3333,2499.5,0.699255
plain_kino_8,component,0.5,500.0,-0.147846,-1478.4567,-978.4567,-1344.0,1919.4763,-3119.0,7349.0,10.2062,10.2062,6.0,98.33,-1479.105,1004.6917,2110.44,822.9167,7499.5,0.704309
plain_kino_9,component,0.5,500.0,-0.137284,-1372.8433,-872.8433,-1641.0,2257.4915,-2940.5,17686.0,15.2703,3.8847,8.33,94.33,-1444.2133,1077.0317,2154.7967,931.5417,19999.5,0.725431
plain_kino_10,component,0.5,500.0,-0.152586,-1525.8633,-1025.8633,-1397.0,1342.5159,-2715.0,3679.0,11.0539,11.0539,7.67,98.0,-1357.5567,849.255,1938.6683,566.0667,4999.5,0.694827
